year;stage;date;team_a;team_b;goals_a;goals_b;penalties_a;penalties_b
2010;Group A;2010.06.11;South Africa;Mexico;1;1
2010;Group A;2010.06.11;Uruguay;France;0;0
2010;Group A;2010.06.16;South Africa;Uruguay;0;3
2010;Group A;2010.06.17;France;Mexico;0;2
2010;Group A;2010.06.22;Mexico;Uruguay;0;1
2010;Group A;2010.06.22;France;South Africa;1;2
2010;Group B;2010.06.12;South Korea;Greece;2;0
2010;Group B;2010.06.12;Argentina;Nigeria;1;0
2010;Group B;2010.06.17;Argentina;South Korea;4;1
2010;Group B;2010.06.17;Greece;Nigeria;2;1
2010;Group B;2010.06.22;Nigeria;South Korea;2;2
2010;Group B;2010.06.22;Greece;Argentina;0;2
2010;Group C;2010.06.12;England;United States;1;1
2010;Group C;2010.06.13;Algeria;Slovenia;0;1
2010;Group C;2010.06.18;Slovenia;United States;2;2
2010;Group C;2010.06.18;England;Algeria;0;0
2010;Group C;2010.06.23;Slovenia;England;0;1
2010;Group C;2010.06.23;United States;Algeria;1;0
2010;Group D;2010.06.13;Serbia;Ghana;0;1
2010;Group D;2010.06.13;Germany;Australia;4;0
2010;Group D;2010.06.18;Germany;Serbia;0;1
2010;Group D;2010.06.19;Ghana;Australia;1;1
2010;Group D;2010.06.23;Ghana;Germany;0;1
2010;Group D;2010.06.23;Australia;Serbia;2;1
2010;Group E;2010.06.14;Netherlands;Denmark;2;0
2010;Group E;2010.06.14;Japan;Cameroon;1;0
2010;Group E;2010.06.19;Netherlands;Japan;1;0
2010;Group E;2010.06.19;Cameroon;Denmark;1;2
2010;Group E;2010.06.24;Denmark;Japan;1;3
2010;Group E;2010.06.24;Cameroon;Netherlands;1;2
2010;Group F;2010.06.14;Italy;Paraguay;1;1
2010;Group F;2010.06.15;New Zealand;Slovakia;1;1
2010;Group F;2010.06.20;Slovakia;Paraguay;0;2
2010;Group F;2010.06.20;Italy;New Zealand;1;1
2010;Group F;2010.06.24;Slovakia;Italy;3;2
2010;Group F;2010.06.24;Paraguay;New Zealand;0;0
2010;Group G;2010.06.15;Ivory Coast;Portugal;0;0
2010;Group G;2010.06.15;Brazil;North Korea;2;1
2010;Group G;2010.06.20;Brazil;Ivory Coast;3;1
2010;Group G;2010.06.21;Portugal;North Korea;7;0
2010;Group G;2010.06.25;Portugal;Brazil;0;0
2010;Group G;2010.06.25;North Korea;Ivory Coast;0;3
2010;Group H;2010.06.16;Honduras;Chile;0;1
2010;Group H;2010.06.16;Spain;Switzerland;0;1
2010;Group H;2010.06.21;Chile;Switzerland;1;0
2010;Group H;2010.06.21;Spain;Honduras;2;0
2010;Group H;2010.06.25;Chile;Spain;1;2
2010;Group H;2010.06.25;Switzerland;Honduras;0;0
2010;Round of 16;2010.06.26;Uruguay;South Korea;2;1
2010;Round of 16;2010.06.26;United States;Ghana;1;2
2010;Round of 16;2010.06.27;Germany;England;4;1
2010;Round of 16;2010.06.27;Argentina;Mexico;3;1
2010;Round of 16;2010.06.28;Netherlands;Slovakia;2;1
2010;Round of 16;2010.06.28;Brazil;Chile;3;0
2010;Round of 16;2010.06.29;Paraguay;Japan;0;0;5;3
2010;Round of 16;2010.06.29;Spain;Portugal;1;0
2010;Quarter-finals;2010.07.02;Netherlands;Brazil;2;1
2010;Quarter-finals;2010.07.02;Uruguay;Ghana;1;1;4;2
2010;Quarter-finals;2010.07.03;Argentina;Germany;0;4
2010;Quarter-finals;2010.07.03;Paraguay;Spain;0;1
2010;Semi-finals;2010.07.06;Uruguay;Netherlands;2;3
2010;Semi-finals;2010.07.07;Germany;Spain;0;1
2010;Third place play-off;2010.07.10;Uruguay;Germany;2;3
2010;Final;2010.07.11;Netherlands;Spain;0;1
2014;Group A;2014.06.12;Brazil;Croatia;3;1
2014;Group A;2014.06.13;Mexico;Cameroon;1;0
2014;Group A;2014.06.17;Brazil;Mexico;0;0
2014;Group A;2014.06.18;Cameroon;Croatia;0;4
2014;Group A;2014.06.23;Cameroon;Brazil;1;4
2014;Group A;2014.06.23;Croatia;Mexico;1;3
2014;Group B;2014.06.13;Spain;Netherlands;1;5
2014;Group B;2014.06.13;Chile;Australia;3;1
2014;Group B;2014.06.18;Australia;Netherlands;2;3
2014;Group B;2014.06.18;Spain;Chile;0;2
2014;Group B;2014.06.23;Australia;Spain;0;3
2014;Group B;2014.06.23;Netherlands;Chile;2;0
2014;Group C;2014.06.14;Colombia;Greece;3;0
2014;Group C;2014.06.14;Ivory Coast;Japan;2;1
2014;Group C;2014.06.19;Colombia;Ivory Coast;2;1
2014;Group C;2014.06.19;Japan;Greece;0;0
2014;Group C;2014.06.24;Japan;Colombia;1;4
2014;Group C;2014.06.24;Greece;Ivory Coast;2;1
2014;Group D;2014.06.14;Uruguay;Costa Rica;1;3
2014;Group D;2014.06.14;England;Italy;1;2
2014;Group D;2014.06.19;Uruguay;England;2;1
2014;Group D;2014.06.20;Italy;Costa Rica;0;1
2014;Group D;2014.06.24;Italy;Uruguay;0;1
2014;Group D;2014.06.24;Costa Rica;England;0;0
2014;Group E;2014.06.15;Switzerland;Ecuador;2;1
2014;Group E;2014.06.15;France;Honduras;3;0
2014;Group E;2014.06.20;Switzerland;France;2;5
2014;Group E;2014.06.20;Honduras;Ecuador;1;2
2014;Group E;2014.06.25;Honduras;Switzerland;0;3
2014;Group E;2014.06.25;Ecuador;France;0;0
2014;Group F;2014.06.15;Argentina;Bosnia and Herzegovina;2;1
2014;Group F;2014.06.16;Iran;Nigeria;0;0
2014;Group F;2014.06.21;Argentina;Iran;1;0
2014;Group F;2014.06.21;Nigeria;Bosnia and Herzegovina;1;0
2014;Group F;2014.06.25;Nigeria;Argentina;2;3
2014;Group F;2014.06.25;Bosnia and Herzegovina;Iran;3;1
2014;Group G;2014.06.16;Germany;Portugal;4;0
2014;Group G;2014.06.16;Ghana;United States;1;2
2014;Group G;2014.06.21;Germany;Ghana;2;2
2014;Group G;2014.06.22;United States;Portugal;2;2
2014;Group G;2014.06.26;United States;Germany;0;1
2014;Group G;2014.06.26;Portugal;Ghana;2;1
2014;Group H;2014.06.17;Belgium;Algeria;2;1
2014;Group H;2014.06.17;Russia;South Korea;1;1
2014;Group H;2014.06.22;Belgium;Russia;1;0
2014;Group H;2014.06.22;South Korea;Algeria;2;4
2014;Group H;2014.06.26;South Korea;Belgium;0;1
2014;Group H;2014.06.26;Algeria;Russia;1;1
2014;Round of 16;2014.06.28;Brazil;Chile;1;1;3;2
2014;Round of 16;2014.06.28;Colombia;Uruguay;2;0
2014;Round of 16;2014.06.29;Netherlands;Mexico;2;1
2014;Round of 16;2014.06.29;Costa Rica;Greece;1;1;5;3
2014;Round of 16;2014.06.30;France;Nigeria;2;0
2014;Round of 16;2014.06.30;Germany;Algeria;2;1
2014;Round of 16;2014.07.01;Argentina;Switzerland;1;0
2014;Round of 16;2014.07.01;Belgium;United States;2;1
2014;Quarter-finals;2014.07.04;France;Germany;0;1
2014;Quarter-finals;2014.07.04;Brazil;Colombia;2;1
2014;Quarter-finals;2014.07.05;Argentina;Belgium;1;0
2014;Quarter-finals;2014.07.05;Netherlands;Costa Rica;0;0;4;3
2014;Semi-finals;2014.07.08;Brazil;Germany;1;7
2014;Semi-finals;2014.07.09;Netherlands;Argentina;0;0;2;4
2014;Third place play-off;2014.07.12;Brazil;Netherlands;0;3
2014;Final;2014.07.13;Germany;Argentina;1;0
2018;Group A;2018.06.14;Russia;Saudi Arabia;5;0
2018;Group A;2018.06.15;Egypt;Uruguay;0;1
2018;Group A;2018.06.19;Russia;Egypt;3;1
2018;Group A;2018.06.20;Uruguay;Saudi Arabia;1;0
2018;Group A;2018.06.25;Uruguay;Russia;3;0
2018;Group A;2018.06.25;Saudi Arabia;Egypt;2;1
2018;Group B;2018.06.15;Morocco;Iran;0;1
2018;Group B;2018.06.15;Portugal;Spain;3;3
2018;Group B;2018.06.20;Portugal;Morocco;1;0
2018;Group B;2018.06.20;Iran;Spain;0;1
2018;Group B;2018.06.25;Iran;Portugal;1;1
2018;Group B;2018.06.25;Spain;Morocco;2;2
2018;Group C;2018.06.16;France;Australia;2;1
2018;Group C;2018.06.16;Peru;Denmark;0;1
2018;Group C;2018.06.21;Denmark;Australia;1;1
2018;Group C;2018.06.21;France;Peru;1;0
2018;Group C;2018.06.26;Denmark;France;0;0
2018;Group C;2018.06.26;Australia;Peru;0;2
2018;Group D;2018.06.16;Argentina;Iceland;1;1
2018;Group D;2018.06.16;Croatia;Nigeria;2;0
2018;Group D;2018.06.21;Argentina;Croatia;0;3
2018;Group D;2018.06.22;Nigeria;Iceland;2;0
2018;Group D;2018.06.26;Nigeria;Argentina;1;2
2018;Group D;2018.06.26;Iceland;Croatia;1;2
2018;Group E;2018.06.17;Costa Rica;Serbia;0;1
2018;Group E;2018.06.17;Brazil;Switzerland;1;1
2018;Group E;2018.06.22;Brazil;Costa Rica;2;0
2018;Group E;2018.06.22;Serbia;Switzerland;1;2
2018;Group E;2018.06.27;Serbia;Brazil;0;2
2018;Group E;2018.06.27;Switzerland;Costa Rica;2;2
2018;Group F;2018.06.17;Germany;Mexico;0;1
